X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0.0570751,0.000509041,,0.0570751,0.000412075
0.0572313,0.000331338,,0.0572313,0.000228475
0.0573876,0.000140901,,0.0573876,3.60949e-05
0.0575438,-5.49502e-05,,0.0575438,-0.000157672
0.0577001,-0.00024869,,0.0577001,-0.00034538
0.0578563,-0.000432873,,0.0578563,-0.000519816
0.0580126,-0.00060042,,0.0580126,-0.000674275
0.0581688,-0.000744894,,0.0581688,-0.000802822
0.0583251,-0.000860742,,0.0583251,-0.000900517
0.0584813,-0.000943512,,0.0584813,-0.000963605
0.0586376,-0.000990024,,0.0586376,-0.000989663
0.0587938,-0.000998489,,0.0587938,-0.000977689
0.0589501,-0.000968583,,0.0589501,-0.000928143
0.0591063,-0.000901455,,0.0591063,-0.000842928
0.0592626,-0.000799685,,0.0592626,-0.000725321
0.0594188,-0.000667183,,0.0594188,-0.000579839
0.0595751,-0.000509041,,0.0595751,-0.000412075
0.0597313,-0.000331338,,0.0597313,-0.000228475
0.0598876,-0.000140901,,0.0598876,-3.60951e-05
0.0600438,5.49502e-05,,0.0600438,0.000157672
0.0602001,0.00024869,,0.0602001,0.00034538
0.0603563,0.000432873,,0.0603563,0.000519816
0.0605126,0.00060042,,0.0605126,0.000674275
0.0606688,0.000744894,,0.0606688,0.000802822
0.0608251,0.000860742,,0.0608251,0.000900517
0.0609813,0.000943512,,0.0609813,0.000963606
0.0611376,0.000990024,,0.0611376,0.000989663
0.0612938,0.000998489,,0.0612938,0.000977689
0.0614501,0.000968583,,0.0614501,0.000928143
0.0616063,0.000901455,,0.0616063,0.000842928
0.0617626,0.000799685,,0.0617626,0.000725321
0.0619188,0.000667183,,0.0619188,0.000579839
0.0620751,0.000509041,,0.0620751,0.000412075
0.0622313,0.000331338,,0.0622313,0.000228475
0.0623876,0.000140901,,0.0623876,3.60949e-05
0.0625438,-5.49502e-05,,0.0625438,-0.000157672
0.0627001,-0.00024869,,0.0627001,-0.00034538
0.0628563,-0.000432873,,0.0628563,-0.000519816
0.0630126,-0.00060042,,0.0630126,-0.000674275
0.0631688,-0.000744894,,0.0631688,-0.000802822
0.0633251,-0.000860742,,0.0633251,-0.000900517
0.0634813,-0.000943512,,0.0634813,-0.000963605
0.0636376,-0.000990024,,0.0636376,-0.000989663
0.0637938,-0.000998489,,0.0637938,-0.000977689
0.0639501,-0.000968583,,0.0639501,-0.000928143
0.0641063,-0.000901455,,0.0641063,-0.000842928
0.0642626,-0.000799685,,0.0642626,-0.000725321
0.0644188,-0.000667183,,0.0644188,-0.000579839
0.0645751,-0.000509041,,0.0645751,-0.000412075
0.0647313,-0.000331338,,0.0647313,-0.000228475
0.0648876,-0.000140901,,0.0648876,-3.60951e-05
0.0650438,5.49502e-05,,0.0650438,0.000157672
0.0652001,0.00024869,,0.0652001,0.00034538
0.0653563,0.000432873,,0.0653563,0.000519816
0.0655126,0.00060042,,0.0655126,0.000674275
0.0656688,0.000744894,,0.0656688,0.000802822
0.0658251,0.000860742,,0.0658251,0.000900517
0.0659813,0.000943512,,0.0659813,0.000963606
0.0661376,0.000990024,,0.0661376,0.000989663
0.0662938,0.000998489,,0.0662938,0.000977689
0.0664501,0.000968583,,0.0664501,0.000928143
0.0666063,0.000901455,,0.0666063,0.000842928
0.0667626,0.000799685,,0.0667626,0.000725321
0.0669188,0.000667183,,0.0669188,0.000579839
0.0670751,0.000509041,,0.0670751,0.000412075
0.0672313,0.000331338,,0.0672313,0.000228475
0.0673876,0.000140901,,0.0673876,3.60949e-05
0.0675438,-5.49502e-05,,0.0675438,-0.000157672
0.0677001,-0.00024869,,0.0677001,-0.00034538
0.0678563,-0.000432873,,0.0678563,-0.000519816
0.0680126,-0.00060042,,0.0680126,-0.000674275
0.0681688,-0.000744894,,0.0681688,-0.000802822
0.0683251,-0.000860742,,0.0683251,-0.000900517
0.0684813,-0.000943512,,0.0684813,-0.000963605
0.0686376,-0.000990024,,0.0686376,-0.000989663
0.0687938,-0.000998489,,0.0687938,-0.000977689
0.0689501,-0.000968583,,0.0689501,-0.000928143
0.0691063,-0.000901455,,0.0691063,-0.000842928
0.0692626,-0.000799685,,0.0692626,-0.000725321
0.0694188,-0.000667183,,0.0694188,-0.000579839
0.0695751,-0.000509041,,0.0695751,-0.000412075
0.0697313,-0.000331338,,0.0697313,-0.000228475
0.0698876,-0.000140901,,0.0698876,-3.60951e-05
0.0700438,5.49502e-05,,0.0700438,0.000157672
0.0702001,0.00024869,,0.0702001,0.00034538
0.0703563,0.000432873,,0.0703563,0.000519816
0.0705126,0.00060042,,0.0705126,0.000674275
0.0706688,0.000744894,,0.0706688,0.000802822
0.0708251,0.000860742,,0.0708251,0.000900517
0.0709813,0.000943512,,0.0709813,0.000963606
0.0711376,0.000990024,,0.0711376,0.000989663
0.0712938,0.000998489,,0.0712938,0.000977689
0.0714501,0.000968583,,0.0714501,0.000928143
0.0716063,0.000901455,,0.0716063,0.000842928
0.0717626,0.000799685,,0.0717626,0.000725321
0.0719188,0.000667183,,0.0719188,0.000579839
0.0720751,0.000509041,,0.0720751,0.000412075
0.0722313,0.000331338,,0.0722313,0.000228475
0.0723876,0.000140901,,0.0723876,3.60949e-05
0.0725438,-5.49502e-05,,0.0725438,-0.000157672
0.0727001,-0.00024869,,0.0727001,-0.00034538
0.0728563,-0.000432873,,0.0728563,-0.000519816
0.0730126,-0.00060042,,0.0730126,-0.000674275
0.0731688,-0.000744894,,0.0731688,-0.000802822
0.0733251,-0.000860742,,0.0733251,-0.000900517
0.0734813,-0.000943512,,0.0734813,-0.000963605
0.0736376,-0.000990024,,0.0736376,-0.000989663
0.0737938,-0.000998489,,0.0737938,-0.000977689
0.0739501,-0.000968583,,0.0739501,-0.000928143
0.0741063,-0.000901455,,0.0741063,-0.000842928
0.0742626,-0.000799685,,0.0742626,-0.000725321
0.0744188,-0.000667183,,0.0744188,-0.000579839
0.0745751,-0.000509041,,0.0745751,-0.000412075
0.0747313,-0.000331338,,0.0747313,-0.000228475
0.0748876,-0.000140901,,0.0748876,-3.60951e-05
0.0750438,5.49502e-05,,0.0750438,0.000157672
0.0752001,0.00024869,,0.0752001,0.00034538
0.0753563,0.000432873,,0.0753563,0.000519816
0.0755126,0.00060042,,0.0755126,0.000674275
0.0756688,0.000744894,,0.0756688,0.000802822
0.0758251,0.000860742,,0.0758251,0.000900517
0.0759813,0.000943512,,0.0759813,0.000963606
0.0761376,0.000990024,,0.0761376,0.000989663
0.0762938,0.000998489,,0.0762938,0.000977689
0.0764501,0.000968583,,0.0764501,0.000928143
0.0766063,0.000901455,,0.0766063,0.000842928
0.0767626,0.000799685,,0.0767626,0.000725321
0.0769188,0.000667183,,0.0769188,0.000579839
0.0770751,0.000509041,,0.0770751,0.000412075
0.0772313,0.000331338,,0.0772313,0.000228475
0.0773876,0.000140901,,0.0773876,3.60949e-05
0.0775438,-5.49502e-05,,0.0775438,-0.000157672
0.0777001,-0.00024869,,0.0777001,-0.00034538
0.0778563,-0.000432873,,0.0778563,-0.000519816
0.0780126,-0.00060042,,0.0780126,-0.000674275
0.0781688,-0.000744894,,0.0781688,-0.000802822
0.0783251,-0.000860742,,0.0783251,-0.000900517
0.0784813,-0.000943512,,0.0784813,-0.000963605
0.0786376,-0.000990024,,0.0786376,-0.000989663
0.0787938,-0.000998489,,0.0787938,-0.000977689
0.0789501,-0.000968583,,0.0789501,-0.000928143
0.0791063,-0.000901455,,0.0791063,-0.000842928
0.0792626,-0.000799685,,0.0792626,-0.000725321
0.0794188,-0.000667183,,0.0794188,-0.000579839
0.0795751,-0.000509041,,0.0795751,-0.000412075
0.0797313,-0.000331338,,0.0797313,-0.000228475
