X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
3.33082,0.000860742,,3.33082,0.00353464
3.33098,0.000943512,,3.33098,0.00386108
3.33114,0.000990024,,3.33114,0.00404232
3.33129,0.000998489,,3.33129,0.00407218
3.33145,0.000968583,,3.33145,0.00394963
3.33161,0.000901455,,3.33161,0.00367884
3.33176,0.000799685,,3.33176,0.00326911
3.33192,0.000667183,,3.33192,0.00273466
3.33207,0.000509041,,3.33207,0.00209429
3.33223,0.000331338,,3.33223,0.00137095
3.33239,0.000140901,,3.33239,0.000591082
3.33254,-5.49502e-05,,3.33254,-0.000216162
3.3327,-0.00024869,,3.3327,-0.00101994
3.33286,-0.000432873,,3.33286,-0.00178884
3.33301,-0.00060042,,3.33301,-0.0024922
3.33317,-0.000744894,,3.33317,-0.0031014
3.33332,-0.000860742,,3.33332,-0.00359124
3.33348,-0.000943512,,3.33348,-0.00394117
3.33364,-0.000990024,,3.33364,-0.00413638
3.33379,-0.000998489,,3.33379,-0.00416853
3.33395,-0.000968583,,3.33395,-0.00403626
3.33411,-0.000901455,,3.33411,-0.00374521
3.33426,-0.000799685,,3.33426,-0.00330778
3.33442,-0.000667183,,3.33442,-0.00274238
3.33457,-0.000509041,,3.33457,-0.00207255
3.33473,-0.000331338,,3.33473,-0.00132571
3.33489,-0.000140901,,3.33489,-0.000531887
3.33504,5.49502e-05,,3.33504,0.000277652
3.3352,0.00024869,,3.3352,0.00107171
3.33536,0.000432873,,3.33536,0.00182036
3.33551,0.00060042,,3.33551,0.00249601
3.33567,0.000744894,,3.33567,0.00307427
3.33582,0.000860742,,3.33582,0.00353464
3.33598,0.000943512,,3.33598,0.00386108
3.33614,0.000990024,,3.33614,0.00404232
3.33629,0.000998489,,3.33629,0.00407218
3.33645,0.000968583,,3.33645,0.00394963
3.33661,0.000901455,,3.33661,0.00367884
3.33676,0.000799685,,3.33676,0.00326911
3.33692,0.000667183,,3.33692,0.00273466
3.33707,0.000509041,,3.33707,0.00209429
3.33723,0.000331338,,3.33723,0.00137095
3.33739,0.000140901,,3.33739,0.000591082
3.33754,-5.49502e-05,,3.33754,-0.000216161
3.3377,-0.00024869,,3.3377,-0.00101994
3.33786,-0.000432873,,3.33786,-0.00178884
3.33801,-0.00060042,,3.33801,-0.0024922
3.33817,-0.000744894,,3.33817,-0.0031014
3.33832,-0.000860742,,3.33832,-0.00359124
3.33848,-0.000943512,,3.33848,-0.00394117
3.33864,-0.000990024,,3.33864,-0.00413638
3.33879,-0.000998489,,3.33879,-0.00416853
3.33895,-0.000968583,,3.33895,-0.00403626
3.33911,-0.000901455,,3.33911,-0.00374521
3.33926,-0.000799685,,3.33926,-0.00330778
3.33942,-0.000667183,,3.33942,-0.00274238
3.33957,-0.000509041,,3.33957,-0.00207255
3.33973,-0.000331338,,3.33973,-0.00132571
3.33989,-0.000140901,,3.33989,-0.000531887
3.34004,5.49502e-05,,3.34004,0.000277652
3.3402,0.00024869,,3.3402,0.00107171
3.34036,0.000432873,,3.34036,0.00182036
3.34051,0.00060042,,3.34051,0.00249601
3.34067,0.000744894,,3.34067,0.00307427
3.34082,0.000860742,,3.34082,0.00353464
3.34098,0.000943512,,3.34098,0.00386108
3.34114,0.000990024,,3.34114,0.00404232
3.34129,0.000998489,,3.34129,0.00407218
3.34145,0.000968583,,3.34145,0.00394963
3.34161,0.000901455,,3.34161,0.00367884
3.34176,0.000799685,,3.34176,0.00326911
3.34192,0.000667183,,3.34192,0.00273466
3.34207,0.000509041,,3.34207,0.00209429
3.34223,0.000331338,,3.34223,0.00137095
3.34239,0.000140901,,3.34239,0.000591083
3.34254,-5.49502e-05,,3.34254,-0.000216161
3.3427,-0.00024869,,3.3427,-0.00101994
3.34286,-0.000432873,,3.34286,-0.00178884
3.34301,-0.00060042,,3.34301,-0.0024922
3.34317,-0.000744894,,3.34317,-0.0031014
3.34332,-0.000860742,,3.34332,-0.00359124
3.34348,-0.000943512,,3.34348,-0.00394117
3.34364,-0.000990024,,3.34364,-0.00413638
3.34379,-0.000998489,,3.34379,-0.00416853
3.34395,-0.000968583,,3.34395,-0.00403626
3.34411,-0.000901455,,3.34411,-0.00374521
3.34426,-0.000799685,,3.34426,-0.00330778
3.34442,-0.000667183,,3.34442,-0.00274238
3.34457,-0.000509041,,3.34457,-0.00207255
3.34473,-0.000331338,,3.34473,-0.00132571
3.34489,-0.000140901,,3.34489,-0.000531886
3.34504,5.49502e-05,,3.34504,0.000277652
3.3452,0.00024869,,3.3452,0.00107171
3.34536,0.000432873,,3.34536,0.00182036
3.34551,0.00060042,,3.34551,0.00249601
3.34567,0.000744894,,3.34567,0.00307427
3.34582,0.000860742,,3.34582,0.00353464
3.34598,0.000943512,,3.34598,0.00386108
3.34614,0.000990024,,3.34614,0.00404232
3.34629,0.000998489,,3.34629,0.00407218
3.34645,0.000968583,,3.34645,0.00394963
3.34661,0.000901455,,3.34661,0.00367884
3.34676,0.000799685,,3.34676,0.00326911
3.34692,0.000667183,,3.34692,0.00273466
3.34707,0.000509041,,3.34707,0.00209429
3.34723,0.000331338,,3.34723,0.00137095
3.34739,0.000140901,,3.34739,0.000591083
3.34754,-5.49502e-05,,3.34754,-0.000216161
3.3477,-0.00024869,,3.3477,-0.00101994
3.34786,-0.000432873,,3.34786,-0.00178884
3.34801,-0.00060042,,3.34801,-0.0024922
3.34817,-0.000744894,,3.34817,-0.0031014
3.34832,-0.000860742,,3.34832,-0.00359124
3.34848,-0.000943512,,3.34848,-0.00394117
3.34864,-0.000990024,,3.34864,-0.00413638
3.34879,-0.000998489,,3.34879,-0.00416853
3.34895,-0.000968583,,3.34895,-0.00403626
3.34911,-0.000901455,,3.34911,-0.00374521
3.34926,-0.000799685,,3.34926,-0.00330778
3.34942,-0.000667183,,3.34942,-0.00274238
3.34957,-0.000509041,,3.34957,-0.00207255
3.34973,-0.000331338,,3.34973,-0.00132571
3.34989,-0.000140901,,3.34989,-0.000531886
3.35004,5.49502e-05,,3.35004,0.000277653
3.3502,0.00024869,,3.3502,0.00107171
3.35036,0.000432873,,3.35036,0.00182036
3.35051,0.00060042,,3.35051,0.00249601
3.35067,0.000744894,,3.35067,0.00307427
3.35082,0.000860742,,3.35082,0.00353465
3.35098,0.000943512,,3.35098,0.00386108
3.35114,0.000990024,,3.35114,0.00404232
3.35129,0.000998489,,3.35129,0.00407218
3.35145,0.000968583,,3.35145,0.00394963
3.35161,0.000901455,,3.35161,0.00367884
3.35176,0.000799685,,3.35176,0.00326911
3.35192,0.000667183,,3.35192,0.00273466
3.35207,0.000509041,,3.35207,0.00209429
3.35223,0.000331338,,3.35223,0.00137095
3.35239,0.000140901,,3.35239,0.000591083
3.35254,-5.49502e-05,,3.35254,-0.000216161
3.3527,-0.00024869,,3.3527,-0.00101994
3.35286,-0.000432873,,3.35286,-0.00178884
3.35301,-0.00060042,,3.35301,-0.0024922
3.35317,-0.000744894,,3.35317,-0.0031014
3.35332,-0.000860742,,3.35332,-0.00359124
3.35348,-0.000943512,,3.35348,-0.00394117
3.35364,-0.000990024,,3.35364,-0.00413638
3.35379,-0.000998489,,3.35379,-0.00416853
3.35395,-0.000968583,,3.35395,-0.00403626
3.35411,-0.000901455,,3.35411,-0.00374521
3.35426,-0.000799685,,3.35426,-0.00330778
3.35442,-0.000667183,,3.35442,-0.00274238
3.35457,-0.000509041,,3.35457,-0.00207255
3.35473,-0.000331338,,3.35473,-0.00132571
3.35489,-0.000140901,,3.35489,-0.000531886
3.35504,5.49502e-05,,3.35504,0.000277653
3.3552,0.00024869,,3.3552,0.00107171
3.35536,0.000432873,,3.35536,0.00182036
3.35551,0.00060042,,3.35551,0.00249601
3.35567,0.000744894,,3.35567,0.00307427
3.35582,0.000860742,,3.35582,0.00353465
3.35598,0.000943512,,3.35598,0.00386108
3.35614,0.000990024,,3.35614,0.00404232
3.35629,0.000998489,,3.35629,0.00407218
3.35645,0.000968583,,3.35645,0.00394963
3.35661,0.000901455,,3.35661,0.00367884
3.35676,0.000799685,,3.35676,0.00326911
3.35692,0.000667183,,3.35692,0.00273466
3.35707,0.000509041,,3.35707,0.00209429
3.35723,0.000331338,,3.35723,0.00137095
3.35739,0.000140901,,3.35739,0.000591083
3.35754,-5.49502e-05,,3.35754,-0.00021616
3.3577,-0.00024869,,3.3577,-0.00101994
3.35786,-0.000432873,,3.35786,-0.00178884
3.35801,-0.00060042,,3.35801,-0.0024922
3.35817,-0.000744894,,3.35817,-0.0031014
3.35832,-0.000860742,,3.35832,-0.00359124
3.35848,-0.000943512,,3.35848,-0.00394117
3.35864,-0.000990024,,3.35864,-0.00413638
3.35879,-0.000998489,,3.35879,-0.00416853
3.35895,-0.000968583,,3.35895,-0.00403626
3.35911,-0.000901455,,3.35911,-0.00374521
3.35926,-0.000799685,,3.35926,-0.00330778
3.35942,-0.000667183,,3.35942,-0.00274238
3.35957,-0.000509041,,3.35957,-0.00207255
3.35973,-0.000331338,,3.35973,-0.00132571
3.35989,-0.000140901,,3.35989,-0.000531886
3.36004,5.49502e-05,,3.36004,0.000277653
3.3602,0.00024869,,3.3602,0.00107171
3.36036,0.000432873,,3.36036,0.00182036
3.36051,0.00060042,,3.36051,0.00249601
3.36067,0.000744894,,3.36067,0.00307427
3.36082,0.000860742,,3.36082,0.00353465
3.36098,0.000943512,,3.36098,0.00386108
3.36114,0.000990024,,3.36114,0.00404232
3.36129,0.000998489,,3.36129,0.00407218
3.36145,0.000968583,,3.36145,0.00394963
3.36161,0.000901455,,3.36161,0.00367884
3.36176,0.000799685,,3.36176,0.00326911
3.36192,0.000667183,,3.36192,0.00273466
3.36207,0.000509041,,3.36207,0.00209429
3.36223,0.000331338,,3.36223,0.00137095
3.36239,0.000140901,,3.36239,0.000591084
3.36254,-5.49502e-05,,3.36254,-0.00021616
3.3627,-0.00024869,,3.3627,-0.00101994
3.36286,-0.000432873,,3.36286,-0.00178884
